country,country_code,carry_pct,carry_bps,vol_returns_annual,carry_to_vol_returns,vol_spread_bps_annual,carry_to_vol_spread,data_points,date_range
MALAYSIA,MAL,4.617,461.7,0.24576361658091897,0.18786344635678928,36.37379808584832,12.693202917944115,71,2021-07 to 2026-07
MEXICO,MEX,6.232,623.2,0.204760094312953,0.30435617940647564,81.2001654708867,7.674861207314172,71,2021-07 to 2026-07
MONGOLIA,MON,6.295,629.5,0.6140667993680571,0.1025132771626516,252.57141543842394,2.49236438298961,71,2021-07 to 2026-07
MOROCCO,MOR,5.066,506.59999999999997,0.30228116308869446,0.16759231532113528,90.51873611669562,5.596631390731059,71,2021-07 to 2026-07
MOZAMBIQUE,MOZ,9.509,950.9000000000001,0.34548680818382443,0.2752348215547643,368.439967998513,2.580881778829809,71,2021-07 to 2026-07
NIGERIA,NIG,7.499,749.9,0.30608618361289,0.24499635728360922,219.0701042220864,3.4231051409907347,71,2021-07 to 2026-07
OMAN,OMA,5.716,571.6,0.27538380429773684,0.207564857148245,77.60075374515476,7.365907834828081,71,2021-07 to 2026-07
PAKISTAN,PAK,7.412,741.2,0.6196656624516278,0.11961288883872268,998.7431967440301,0.742132714812338,71,2021-07 to 2026-07
PANAMA,PAN,5.39,539.0,0.2697953857570737,0.19978102979319323,71.23667434207788,7.566327386533049,71,2021-07 to 2026-07
PAPUA N.GUINEA,PAP,7.764,776.4,0.3167683817803731,0.24510021979981134,179.11302048203743,4.334693245139385,71,2021-07 to 2026-07
PARAGUAY,PAR,5.426,542.6,0.27600313820757527,0.19659196758550032,78.72712613373497,6.892160639501525,71,2021-07 to 2026-07
PERU,PER,5.25,525.0,0.2517482340393075,0.20854168133629386,54.54505524226157,9.62507046089174,71,2021-07 to 2026-07
PHILIPPINES,PHI,5.048,504.8,0.3622034161234357,0.13936919905470152,52.034096515184665,9.701331123385385,71,2021-07 to 2026-07
POLAND,POL,5.382,538.1999999999999,14.096725674054627,0.003817907877646867,63.42793372806289,8.485220444157084,66,2021-07 to 2026-07
ROMANIA,ROM,5.805,580.5,0.34968398038888204,0.1660070327941327,95.11486241683741,6.103147134419224,71,2021-07 to 2026-07
RWANDA,RWA,5.557,555.7,0.36113292824524984,0.15387685711744825,184.756005073561,3.0077506805732614,71,2021-07 to 2026-07
SOUTH AFRICA,SAF,6.269,626.9,0.2858347229077426,0.21932254892710892,115.50743458472853,5.427356275843422,71,2021-07 to 2026-07
Serbia,SER,5.271,527.1,0.4883406101357222,0.10793695815171005,104.21442836595246,5.057840917661331,71,2021-07 to 2026-07
SRI LANKA,SRL,3.632,363.2,0.6209917762549452,0.05848708692897247,1720.2380171678387,0.2111335735958006,71,2021-07 to 2026-07
SURINAME,SUR,7.544,754.4,0.38050344177442336,0.1982636468364027,475.2886555382309,1.5872459634991607,71,2021-07 to 2026-07
TRINIDAD AND TO,T&T,6.473,647.3,0.3543269141022538,0.1826844008279874,93.76442584604519,6.903471056953119,71,2021-07 to 2026-07
TURKEY,TUR,7.067,706.7,0.28124834692879863,0.2512725879874805,132.32599784018254,5.3405983067176335,71,2021-07 to 2026-07
UAE,UAE,4.459,445.9,0.2739300591245383,0.1627787769714159,42.38510150776571,10.520206019049008,71,2021-07 to 2026-07
UKRAINE,UKR,4.555,455.5,1.211876164553085,0.03758634861574153,2315.6342237929684,0.1967063689592128,71,2021-07 to 2026-07
URUGUAY,URU,5.438,543.8,0.26925491039533694,0.20196474753294516,43.474617703289866,12.508448118195847,71,2021-07 to 2026-07
UZBEKISTAN,UZB,6.088,608.8,0.313354623505018,0.19428467121061987,48.69155252022484,12.50319549262934,71,2021-07 to 2026-07
VENEZUELA,VEN,16.041,1604.1000000000001,0.623883024345549,0.2571155068183968,22402.880857226086,0.07160239838005454,71,2021-07 to 2026-07
